Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.1,FPN 2.1,Rwanda,RWA,2021,YR2021,..,2.427,..,..,..,..,2.718,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82,..,..,11,13461888
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,STP,2017,YR2017,0.702,2.936,0.548,2.294,0.191,0.8,3.288,3.67,2.569,0.896,1.015,2.13,0.241,0.51,0.392,0.82,0.117,0.25,0.477,1.046,2.19,0.309,0.073,0.119,0.036,0.318,0.145,8,63.4,76.6,0,0.1,0.2,208036
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,STP,2018,YR2018,..,3.03,..,..,..,..,3.394,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.3,..,..,0.2,211344
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,STP,2019,YR2019,..,3.128,..,..,..,..,3.503,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,76.7,..,..,0.2,214599
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,STP,2020,YR2020,..,3.245,..,..,..,..,3.634,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.3,..,..,0.2,218641
Food Prices for Nutrition 2.1,FPN 2.1,Sao Tome and Principe,STP,2021,YR2021,..,3.454,..,..,..,..,3.869,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.2,..,..,0.2,223107
Food Prices for Nutrition 2.1,FPN 2.1,Saudi Arabia,SAU,2017,YR2017,0.329,3.072,0.167,1.564,0.084,0.788,3.441,3.9,1.752,0.883,1.031,2.26,0.739,1.62,0.303,0.66,0.173,0.38,0.457,0.738,1.61,0.3,0.215,0.088,0.05,0.214,0.133,..,..,..,..,..,..,34193122
Food Prices for Nutrition 2.1,FPN 2.1,Saudi Arabia,SAU,2018,YR2018,..,3.271,..,..,..,..,3.663,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35018133
Food Prices for Nutrition 2.1,FPN 2.1,Saudi Arabia,SAU,2019,YR2019,..,3.471,..,..,..,..,3.888,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35827362
Food Prices for Nutrition 2.1,FPN 2.1,Saudi Arabia,SAU,2020,YR2020,..,3.704,..,..,..,..,4.148,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35997107
Food Prices for Nutrition 2.1,FPN 2.1,Saudi Arabia,SAU,2021,YR2021,..,3.965,..,..,..,..,4.441,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35950396
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,SEN,2017,YR2017,0.677,1.955,0.574,1.659,0.23,0.665,2.19,2.94,1.858,0.745,0.377,0.94,0.422,1.05,0.124,0.31,0.19,0.47,0.401,0.677,1.69,0.172,0.193,0.057,0.087,0.309,0.183,3.3,43.2,53.6,0.5,6.5,8.1,15157793
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,SEN,2018,YR2018,..,2.009,..,..,..,..,2.25,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48,..,..,7.5,15574909
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,SEN,2019,YR2019,..,2.034,..,..,..,..,2.278,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.7,..,..,7.3,16000781
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,SEN,2020,YR2020,..,2.08,..,..,..,..,2.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.4,..,..,7.6,16436120
Food Prices for Nutrition 2.1,FPN 2.1,Senegal,SEN,2021,YR2021,..,2.181,..,..,..,..,2.443,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.8,..,..,7.6,16876720
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,SRB,2017,YR2017,0.608,3.634,0.398,2.383,0.09,0.537,4.07,6.77,2.669,0.601,0.998,1.74,0.872,1.52,0.612,1.07,0.096,0.17,0.572,0.92,1.61,0.245,0.214,0.15,0.024,0.226,0.141,3.2,14.3,27.2,0.2,1,1.9,7020858
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,SRB,2018,YR2018,..,3.72,..,..,..,..,4.166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.1,..,..,0.9,6982604
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,SRB,2019,YR2019,..,3.87,..,..,..,..,4.334,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.2,..,..,1.1,6945235
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,SRB,2020,YR2020,..,3.811,..,..,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,0.9,6899126
Food Prices for Nutrition 2.1,FPN 2.1,Serbia,SRB,2021,YR2021,..,3.88,..,..,..,..,4.346,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.3,..,..,0.7,6834326
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,SYC,2017,YR2017,0.807,3.58,0.437,1.937,0.128,0.566,4.01,6.32,2.169,0.634,1.088,2.86,0.476,1.25,0.875,2.3,0.095,0.25,0.381,1.094,2.87,0.271,0.119,0.218,0.024,0.273,0.095,0.1,2.5,9.3,0,0,0,95843
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,SYC,2018,YR2018,..,3.535,..,..,..,..,3.959,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.8,..,..,0,96762
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,SYC,2019,YR2019,..,3.525,..,..,..,..,3.948,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1,..,..,0,97625
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,SYC,2020,YR2020,..,3.379,..,..,..,..,3.784,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..,..,0,98462
Food Prices for Nutrition 2.1,FPN 2.1,Seychelles,SYC,2021,YR2021,..,3.688,..,..,..,..,4.131,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..,..,0,99258
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,SLE,2017,YR2017,1.323,2.538,1.025,1.965,0.579,1.11,2.842,2.29,2.201,1.243,0.754,1.15,0.298,0.45,0.257,0.39,0.122,0.19,0.655,0.756,1.15,0.265,0.105,0.09,0.043,0.266,0.23,34.8,73.3,84.2,2.7,5.6,6.5,7677565
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,SLE,2018,YR2018,..,2.636,..,..,..,..,2.952,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.2,..,..,6.6,7861281
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,SLE,2019,YR2019,..,2.542,..,..,..,..,2.847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.3,..,..,6.5,8046828
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,SLE,2020,YR2020,..,2.583,..,..,..,..,2.893,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.5,..,..,6.8,8233970
Food Prices for Nutrition 2.1,FPN 2.1,Sierra Leone,SLE,2021,YR2021,..,2.828,..,..,..,..,3.167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.5,..,..,7,8420641
Food Prices for Nutrition 2.1,FPN 2.1,Singapore,SGP,2017,YR2017,0.548,2.478,0.4,1.807,0.148,0.671,2.775,3.7,2.024,0.751,0.611,1.18,0.615,1.18,0.324,0.62,0.102,0.2,0.519,0.605,1.17,0.22,0.222,0.117,0.037,0.218,0.187,..,..,..,..,..,..,5612253
Food Prices for Nutrition 2.1,FPN 2.1,Singapore,SGP,2018,YR2018,..,2.56,..,..,..,..,2.867,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5638676
Food Prices for Nutrition 2.1,FPN 2.1,Singapore,SGP,2019,YR2019,..,2.621,..,..,..,..,2.936,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5703569
Food Prices for Nutrition 2.1,FPN 2.1,Singapore,SGP,2020,YR2020,..,2.736,..,..,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5685807
Food Prices for Nutrition 2.1,FPN 2.1,Singapore,SGP,2021,YR2021,..,2.845,..,..,..,..,3.186,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5453566
Food Prices for Nutrition 2.1,FPN 2.1,Sint Maarten (Dutch part),SXM,2017,YR2017,0.833,3.984,0.737,3.521,0.42,2.01,4.462,1.98,3.944,2.251,0.864,0.69,0.905,0.72,0.328,0.26,0.195,0.15,1.26,0.91,0.72,0.194,0.203,0.074,0.044,0.204,0.282,..,..,..,..,..,..,40574
Food Prices for Nutrition 2.1,FPN 2.1,Sint Maarten (Dutch part),SXM,2018,YR2018,..,4.208,..,..,..,..,4.713,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40895
Food Prices for Nutrition 2.1,FPN 2.1,Sint Maarten (Dutch part),SXM,2019,YR2019,..,4.317,..,..,..,..,4.835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41608
Food Prices for Nutrition 2.1,FPN 2.1,Sint Maarten (Dutch part),SXM,2020,YR2020,..,4.548,..,..,..,..,5.094,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42310
Food Prices for Nutrition 2.1,FPN 2.1,Sint Maarten (Dutch part),SXM,2021,YR2021,..,4.708,..,..,..,..,5.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42846
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,SVK,2017,YR2017,0.434,2.69,0.285,1.765,0.052,0.324,3.013,8.3,1.977,0.363,0.667,1.91,0.634,1.81,0.311,0.89,0.077,0.22,0.35,0.974,2.78,0.221,0.21,0.103,0.026,0.323,0.116,0.1,1.4,2.1,0,0.1,0.1,5439232
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,SVK,2018,YR2018,..,2.77,..,..,..,..,3.102,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.8,..,..,0.2,5446771
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,SVK,2019,YR2019,..,2.895,..,..,..,..,3.242,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,0.1,5454147
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,SVK,2020,YR2020,..,2.867,..,..,..,..,3.211,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,0.1,5458827
Food Prices for Nutrition 2.1,FPN 2.1,Slovak Republic,SVK,2021,YR2021,..,2.855,..,..,..,..,3.198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.2,..,..,0.1,5447247
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,SVN,2017,YR2017,0.394,2.498,0.284,1.799,0.061,0.388,2.798,6.45,2.015,0.434,0.698,2.41,0.669,2.31,0.346,1.19,0.072,0.25,0.29,0.722,2.49,0.249,0.239,0.124,0.026,0.258,0.104,0,0,0.1,0,0,0,2066388
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,SVN,2018,YR2018,..,2.591,..,..,..,..,2.902,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,2073894
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,SVN,2019,YR2019,..,2.699,..,..,..,..,3.023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.1,..,..,0,2088385
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,SVN,2020,YR2020,..,2.763,..,..,..,..,3.095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,2102419
Food Prices for Nutrition 2.1,FPN 2.1,Slovenia,SVN,2021,YR2021,..,2.713,..,..,..,..,3.038,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,0,2108079
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,ZAF,2017,YR2017,0.95,3.663,0.789,3.042,0.293,1.129,4.102,3.24,3.407,1.265,1.059,1.67,0.727,1.15,0.852,1.35,0.129,0.2,0.633,0.702,1.11,0.258,0.177,0.208,0.031,0.171,0.154,24.2,60.3,65.3,13.7,34.1,37,56641209
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,ZAF,2018,YR2018,..,3.703,..,..,..,..,4.147,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.9,..,..,37.2,57339635
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,ZAF,2019,YR2019,..,3.749,..,..,..,..,4.199,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.1,..,..,37.8,58087055
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,ZAF,2020,YR2020,..,3.838,..,..,..,..,4.299,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67,..,..,39.4,58801927
Food Prices for Nutrition 2.1,FPN 2.1,South Africa,ZAF,2021,YR2021,..,4.076,..,..,..,..,4.565,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.7,..,..,39.6,59392255
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,SAS,2017,YR2017,0.894,3.177,0.595,2.079,0.197,0.718,3.558,1.52835051546392,2.328,0.804,1.076,2.55,0.842,2,0.318,0.75,0.172,0.41,0.422,0.729,1.73,0.302,0.237,0.089,0.048,0.205,0.119,2.6,59.3,78.7,46.1,1058.3,1402.9,1783288101
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,SAS,2018,YR2018,..,3.228,..,..,..,..,3.615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.1,..,..,1336.7,1803847309
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,SAS,2019,YR2019,..,3.273,..,..,..,..,3.666,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.8,..,..,1309.8,1823829015
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,SAS,2020,YR2020,..,3.434,..,..,..,..,3.847,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.3,..,..,1387.3,1843559390
Food Prices for Nutrition 2.1,FPN 2.1,South Asia,SAS,2021,YR2021,..,3.633,..,..,..,..,4.069,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73,..,..,1358.3,1861812142
Food Prices for Nutrition 2.1,FPN 2.1,Spain,ESP,2017,YR2017,0.371,2.41,0.241,1.564,0.06,0.391,2.699,6.16,1.752,0.438,0.623,2.24,0.796,2.86,0.211,0.76,0.053,0.19,0.278,0.739,2.66,0.231,0.295,0.078,0.02,0.274,0.103,0.5,1,1.7,0.2,0.5,0.8,46593236
Food Prices for Nutrition 2.1,FPN 2.1,Spain,ESP,2018,YR2018,..,2.447,..,..,..,..,2.741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.9,..,..,0.9,46797754
Food Prices for Nutrition 2.1,FPN 2.1,Spain,ESP,2019,YR2019,..,2.54,..,..,..,..,2.845,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8,..,..,0.8,47134837
Food Prices for Nutrition 2.1,FPN 2.1,Spain,ESP,2020,YR2020,..,2.537,..,..,..,..,2.841,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,..,..,1,47365655
Food Prices for Nutrition 2.1,FPN 2.1,Spain,ESP,2021,YR2021,..,2.571,..,..,..,..,2.879,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8,..,..,0.9,47415750
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,LKA,2017,YR2017,0.671,3.305,0.404,1.989,0.176,0.868,3.702,3.81,2.228,0.972,0.999,2.03,0.899,1.82,0.192,0.39,0.321,0.65,0.493,0.799,1.62,0.27,0.243,0.052,0.087,0.216,0.133,0.6,22.6,56.3,0.1,4.9,12.1,21506813
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,LKA,2018,YR2018,..,3.308,..,..,..,..,3.705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.8,..,..,11.2,21670000
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,LKA,2019,YR2019,..,3.274,..,..,..,..,3.667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.5,..,..,10.6,21803000
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,LKA,2020,YR2020,..,3.503,..,..,..,..,3.923,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.8,..,..,12.5,21919000
Food Prices for Nutrition 2.1,FPN 2.1,Sri Lanka,LKA,2021,YR2021,..,3.811,..,..,..,..,4.268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.2,..,..,12.9,22156000
Food Prices for Nutrition 2.1,FPN 2.1,St. Kitts and Nevis,KNA,2017,YR2017,0.462,2.677,0.461,2.673,0.082,0.476,2.998,5.62,2.994,0.533,0.716,1.68,0.648,1.52,0.333,0.78,0.136,0.32,0.425,0.74,1.74,0.239,0.216,0.111,0.045,0.247,0.142,..,..,..,..,..,..,47785
Food Prices for Nutrition 2.1,FPN 2.1,St. Kitts and Nevis,KNA,2018,YR2018,..,2.838,..,..,..,..,3.179,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47761
Food Prices for Nutrition 2.1,FPN 2.1,St. Kitts and Nevis,KNA,2019,YR2019,..,2.955,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47712
Food Prices for Nutrition 2.1,FPN 2.1,St. Kitts and Nevis,KNA,2020,YR2020,..,3.04,..,..,..,..,3.405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47642
Food Prices for Nutrition 2.1,FPN 2.1,St. Kitts and Nevis,KNA,2021,YR2021,..,3.148,..,..,..,..,3.526,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47606
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,LCA,2017,YR2017,1.836,2.913,1.492,2.367,0.591,0.938,3.263,3.11,2.651,1.05,0.848,1.67,0.479,0.94,0.334,0.66,0.205,0.4,0.509,0.888,1.74,0.26,0.147,0.102,0.063,0.272,0.156,4.6,16.7,20.9,0,0,0,177163
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,LCA,2018,YR2018,..,3.036,..,..,..,..,3.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.6,..,..,0,177888
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,LCA,2019,YR2019,..,3.14,..,..,..,..,3.517,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.2,..,..,0,178583
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,LCA,2020,YR2020,..,3.21,..,..,..,..,3.595,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.6,..,..,0.1,179237
Food Prices for Nutrition 2.1,FPN 2.1,St. Lucia,LCA,2021,YR2021,..,3.279,..,..,..,..,3.673,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.2,..,..,0,179651
Food Prices for Nutrition 2.1,FPN 2.1,St. Vincent and the Grenadines,VCT,2017,YR2017,0.785,3.688,0.581,2.727,0.251,1.18,4.131,3.12,3.054,1.322,0.78,0.95,0.427,0.52,0.605,0.74,0.229,0.28,0.822,1.269,1.54,0.189,0.103,0.146,0.055,0.307,0.199,..,..,..,..,..,..,105549
Food Prices for Nutrition 2.1,FPN 2.1,St. Vincent and the Grenadines,VCT,2018,YR2018,..,3.779,..,..,..,..,4.232,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105281
Food Prices for Nutrition 2.1,FPN 2.1,St. Vincent and the Grenadines,VCT,2019,YR2019,..,3.833,..,..,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104924
Food Prices for Nutrition 2.1,FPN 2.1,St. Vincent and the Grenadines,VCT,2020,YR2020,..,3.977,..,..,..,..,4.454,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104632
Food Prices for Nutrition 2.1,FPN 2.1,St. Vincent and the Grenadines,VCT,2021,YR2021,..,4.194,..,..,..,..,4.697,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104332
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,SSF,2017,YR2017,1.445,2.874,0.975,1.957,0.385,0.767,3.219,1.46852189781022,2.192,0.859,0.92,1.77,0.535,1.03,0.252,0.48,0.144,0.28,0.52,0.829,1.59,0.286,0.166,0.078,0.045,0.258,0.162,25,67.9,84.5,255.9,696.4,866.2,1034965894
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,SSF,2018,YR2018,..,2.92,..,..,..,..,3.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,..,..,884,1054329184
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,SSF,2019,YR2019,..,2.952,..,..,..,..,3.306,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.6,..,..,904.1,1082587185
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,SSF,2020,YR2020,..,3.026,..,..,..,..,3.389,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.5,..,..,937.7,1111354224
Food Prices for Nutrition 2.1,FPN 2.1,Sub-Saharan Africa,SSF,2021,YR2021,..,3.195,..,..,..,..,3.578,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.3,..,..,959.4,1140262394
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,SDN,2017,YR2017,0.824,3.28,0.468,1.865,0.242,0.963,3.674,3.41,2.089,1.079,1.203,2.2,0.48,0.88,0.509,0.93,0.211,0.39,0.547,0.723,1.32,0.327,0.131,0.139,0.057,0.197,0.149,15.3,58.7,88.4,6.2,23.9,35.9,40679828
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,SDN,2018,YR2018,..,3.501,..,..,..,..,3.921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.9,..,..,38.2,41999059
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,SDN,2019,YR2019,..,3.845,..,..,..,..,4.306,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93.6,..,..,40.5,43232093
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,SDN,2020,YR2020,..,3.846,..,..,..,..,4.308,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.1,..,..,41.8,44440486
Food Prices for Nutrition 2.1,FPN 2.1,Sudan,SDN,2021,YR2021,..,2.751,..,..,..,..,3.081,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.6,..,..,39.1,45657202
Food Prices for Nutrition 2.1,FPN 2.1,Suriname,SUR,2017,YR2017,0.604,4.437,0.412,3.023,0.139,1.02,4.969,4.35,3.386,1.142,1.412,2.41,0.8,1.37,0.78,1.33,0.136,0.23,0.585,1.256,2.15,0.284,0.161,0.157,0.027,0.253,0.118,15.8,34.2,44.5,0.1,0.2,0.3,587559
Food Prices for Nutrition 2.1,FPN 2.1,Suriname,SUR,2018,YR2018,..,4.742,..,..,..,..,5.311,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45,..,..,0.3,593715
